image,gender,occasion,full_body,lower_body,upper_body,outerwear,colour_bottom,colour_top,neckline,upper_body_length,lower_body_length,closure_type,sleeve_length,full_body_bbox,upper_body_bbox,lower_body_bbox,age_group,age,cluster,validation_type
office242,female,Office,,skirt,shirt_blouse,,navy,white,collar,hip_length,calf_length,button,three_quarter,,"[261.6724, 188.5764, 666.1423, 555.7091]","[267.34598, 447.81744, 580.27496, 1076.0211]",31-40,33,0,rule_based
prom275,female,Prom,dress,,,,,pink,round_neck,below_knee,,pullover,three_quarter,"[115.057205, 143.581, 513.3358, 796.2621]",,,16-20,17,1,rule_based
Travel106,male,Travel,,shorts,shirt_blouse,,navy,blue,collar,hip_length,knee_length,button,short,,"[141.34604, 78.10312, 310.89267, 306.63043]","[160.15622, 270.19388, 276.9115, 400.42178]",31-40,33,0,rule_based
office232,female,Office,,jeans,top_others,,blue,pink,v_neck,crop,full_length,pullover,long,,"[351.87088, 201.00276, 708.8254, 513.827]","[314.2347, 496.1432, 689.4867, 1281.4005]",31-40,37,2,rule_based
party (248),female,Party,,skirt,top_others,,black,brown,halter_neck,hip_length,thigh_length,pullover,long,,"[197.1881, 246.62207, 522.7645, 714.6243]","[227.52307, 511.77042, 462.71255, 831.97504]",16-20,18,2,rule_based
office023,male,Office,,pants/trousers,shirt_blouse,,brown,blue,collar,hip_length,full_length,button,three_quarter,,"[85.82774, 122.00336, 309.43753, 421.801]","[131.687, 386.7104, 291.4554, 739.9012]",26-30,29,0,rule_based
Travel334,female,Travel,jump_suit,,,,,blue,round_neck,below_knee,,pullover,sleeveless,"[398.39996, 339.4839, 660.4956, 1204.474]",,,26-30,27,1,rule_based
party (259),male,Party,,pants/trousers,shirt_blouse,coat,navy,navy,collar,hip_length,full_length,pullover,long,,"[167.52438, 119.23474, 410.42587, 415.21143]","[193.73102, 360.6335, 358.7516, 757.8285]",16-20,17,0,rule_based
Travel498,female,Travel,,shorts,top_others,,white,green,off_shoulder,thigh_length,thigh_length,pullover,short,,"[190.52727, 160.9553, 367.74612, 392.6821]","[195.7926, 332.3902, 351.20264, 406.33914]",31-40,37,2,rule_based
party (349),male,Party,,pants/trousers,shirt_blouse,coat,white,white,collar,hip_length,full_length,button,long,,"[189.46185, 105.52861, 385.50504, 357.70428]","[167.38258, 322.1772, 333.25098, 600.55225]",16-20,19,0,rule_based
Travel127,male,Travel,,jeans,shirt_blouse,,blue,white,collar,hip_length,full_length,button,long,,"[192.35371, 131.73029, 333.83932, 423.8542]","[103.19377, 393.34363, 400.94138, 693.0299]",21-25,21,0,random_check
Travel223,female,Travel,,shorts,tank_top,,red,white,round_neck,crop,extra_short,pullover,sleeveless,,"[260.4333, 497.19205, 463.42273, 743.89764]","[261.73154, 738.59674, 491.23624, 970.0222]",26-30,28,2,rule_based
dating (93),female,Dating,dress,,,,,orange,collar,below_knee,,pullover,short,"[420.4642, 516.0238, 890.90735, 1100.9358]",,,31-40,31,1,rule_based
party (165),female,Party,,skirt,top_others,,green,black,halter_neck,crop,thigh_length,pullover,sleeveless,,"[307.1294, 191.23026, 479.09247, 402.1087]","[278.80743, 390.86484, 498.3362, 610.91296]",26-30,26,1,rule_based
wedding (285),female,Wedding,,skirt,shirt_blouse,,blue,multi,round_neck,hip_length,full_length,pullover,long,,"[150.03523, 128.479, 320.01428, 330.9662]","[105.57974, 136.77322, 405.97153, 648.4779]",31-40,40,0,rule_based
office167,male,Office,,pants/trousers,shirt_blouse,,black,white,collar,hip_length,full_length,button,long,,"[70.7419, 39.611053, 172.07376, 153.32874]","[89.08518, 124.50369, 164.26256, 302.05017]",26-30,30,0,random_check
Travel131,male,Travel,,shorts,t_shirt,jacket,brown,blue,v_neck,hip_length,full_length,pullover,three_quarter,,"[53.478565, 299.10718, 411.0772, 698.6192]","[116.01407, 669.3757, 334.12173, 874.69745]",21-25,23,0,random_check
wedding (107),male,Wedding,,pants/trousers,top_others,coat,white,multi,collar,hip_length,full_length,button,long,,"[139.69035, 105.86623, 339.15643, 451.58118]","[165.81752, 339.94946, 331.46597, 511.47067]",16-20,18,0,rule_based
prom317,female,Prom,dress,,,,,green,off_shoulder,below_knee,,pullover,sleeveless,"[8.044464, 133.7041, 777.87854, 799.25726]",,,16-20,20,1,rule_based
prom150,female,Prom,dress,,,,,red,halter_neck,below_knee,,pullover,sleeveless,"[198.79042, 262.96252, 801.57324, 1491.2639]",,,16-20,19,1,rule_based
office258,female,Office,,jeans,top_others,,black,white,round_neck,hip_length,full_length,pullover,sleeveless,,"[362.67087, 825.7378, 506.9934, 1183.3297]","[472.03607, 1177.3344, 518.68665, 1235.5555]",31-40,37,2,rule_based
Travel187,female,Travel,dress,,,,,white,round_neck,thigh_length,,pullover,three_quarter,"[340.28818, 205.22922, 646.458, 608.46606]",,,16-20,16,1,rule_based
party (200),female,Party,,pants/trousers,top_others,,black,black,off_shoulder,crop,full_length,pullover,sleeveless,,"[232.38716, 215.18806, 317.38858, 514.9139]","[218.41756, 392.3092, 460.31058, 895.1941]",21-25,24,2,rule_based
dating (2),female,Dating,dress,,,,,blue,off_shoulder,knee_length,,pullover,sleeveless,"[262.47357, 414.11044, 522.176, 1329.2603]",,,26-30,29,1,rule_based
Travel41,female,Travel,,shorts,top_others,jacket,multi,white,v_neck,hip_length,thigh_length,pullover,long,,"[105.67569, 140.48772, 331.637, 382.48392]","[111.089195, 328.6328, 275.2581, 493.0992]",26-30,26,2,random_check
wedding (203),female,Wedding,,skirt,top_others,,navy,white,round_neck,crop,calf_length,pullover,short,,"[139.35126, 120.42767, 308.39722, 279.24368]","[121.48837, 242.84726, 316.62064, 561.0597]",31-40,35,2,random_check
Travel307,female,Travel,dress,,,,,pink,v_neck,below_knee,,pullover,short,"[124.876915, 191.04568, 235.88017, 461.50134]",,,31-40,35,1,rule_based
Travel185,female,Travel,,pants/trousers,sweater,,white,white,round_neck,crop,full_length,pullover,long,,"[323.02594, 468.46082, 698.21124, 805.9801]","[382.42435, 635.869, 701.43, 1180.7163]",16-20,19,2,rule_based
party (72),male,Party,,jeans,t_shirt,coat,blue,grey,v_neck,hip_length,full_length,pullover,long,,"[145.82683, 150.32681, 360.05853, 458.85104]","[165.61333, 375.16818, 309.6878, 652.23566]",21-25,21,0,rule_based
Sports371,female,Sports,,leggings,top_others,,multi,black,halter_neck,crop,full_length,pullover,sleeveless,,"[259.83267, 315.18826, 443.2291, 871.28436]","[444.96616, 370.04645, 628.3794, 787.9297]",16-20,16,3,rule_based
party (68),female,Party,dress,,,,,white,v_neck,thigh_length,,zip,short,"[100.20552, 72.19829, 215.30792, 270.31247]",,,16-20,20,1,random_check
office085,male,Office,,pants/trousers,shirt_blouse,,black,white,collar,hip_length,full_length,button,three_quarter,,"[341.17538, 208.59256, 770.46216, 593.62555]","[352.3815, 547.1235, 664.44025, 1181.9584]",26-30,30,0,rule_based
dating (272),female,Dating,,jeans,top_others,,blue,black,v_neck,thigh_length,full_length,pullover,long,,"[331.03192, 199.26189, 836.31696, 698.5701]","[396.21786, 522.6824, 657.8916, 970.17474]",21-25,21,2,rule_based
wedding (189),female,Wedding,,skirt,top_others,,brown,white,round_neck,hip_length,full_length,pullover,three_quarter,,"[171.04979, 123.127174, 344.0352, 274.40652]","[166.0823, 225.01399, 292.1425, 646.5787]",31-40,39,2,rule_based
prom346,female,Prom,dress,,,,,blue,round_neck,below_knee,,pullover,sleeveless,"[112.29445, 102.249886, 408.80222, 599.2357]",,,16-20,16,1,rule_based
Travel9,female,Travel,,shorts,top_others,,white,white,round_neck,crop,extra_short,pullover,sleeveless,,"[155.69809, 226.85507, 305.1881, 391.2931]","[134.14523, 338.21896, 301.96527, 555.853]",26-30,27,2,random_check
dating (373),male,Dating,,jeans,shirt_blouse,,white,multi,collar,hip_length,full_length,button,three_quarter,,"[77.922615, 163.24762, 263.64627, 347.18405]","[108.77942, 323.96188, 231.83238, 594.75714]",21-25,25,0,rule_based
party (11),male,Party,,pants/trousers,shirt_blouse,coat,black,black,collar,hip_length,full_length,pullover,three_quarter,,"[205.3765, 261.81857, 508.77823, 524.3092]","[280.66052, 474.22174, 447.56223, 855.3518]",16-20,16,0,random_check
party (36),male,Party,,pants/trousers,shirt_blouse,coat,white,white,collar,hip_length,full_length,pullover,long,,"[73.54202, 90.66228, 271.2675, 346.53958]","[98.4512, 281.84845, 226.9224, 556.4514]",16-20,17,0,random_check
Travel156,female,Travel,,shorts,t_shirt,,white,grey,round_neck,hip_length,thigh_length,pullover,short,,"[166.78319, 191.61896, 328.713, 396.15604]","[4.8361897, 358.61957, 150.94438, 530.83246]",31-40,39,2,rule_based
Travel349,female,Travel,dress,,,,,multi,round_neck,thigh_length,,pullover,long,"[181.68533, 466.3869, 491.256, 908.51935]",,,16-20,19,1,rule_based
Sports395,female,Sports,,leggings,tank_top,,multi,black,round_neck,crop,thigh_length,pullover,sleeveless,,"[331.68695, 249.08134, 607.87317, 536.87683]","[292.0881, 587.8504, 649.9318, 957.3055]",16-20,18,3,rule_based
Sports64,male,Sports,,athletic_pants,t_shirt,,black,black,round_neck,hip_length,full_length,pullover,short,,"[116.63568, 86.021095, 304.0389, 286.847]","[155.0256, 265.52832, 316.06732, 521.7168]",16-20,19,3,rule_based
prom258,female,Prom,dress,,,,,red,v_neck,below_knee,,pullover,sleeveless,"[49.822075, 147.1105, 493.72202, 750.0]",,,16-20,16,1,rule_based
office156,male,Office,,pants/trousers,shirt_blouse,,black,grey,collar,hip_length,full_length,button,long,,"[194.03279, 85.769516, 363.30307, 255.29103]","[206.70665, 243.15329, 361.54388, 519.95856]",26-30,27,0,rule_based
Sports355,female,Sports,,leggings,tank_top,,blue,grey,round_neck,crop,full_length,pullover,sleeveless,,"[394.46652, 480.41934, 610.12744, 708.1915]","[361.45386, 747.2557, 713.6036, 1350.0]",16-20,16,3,rule_based
Travel286,female,Travel,,skirt,sweater,,white,brown,v_neck,hip_length,knee_length,pullover,long,,"[640.61676, 466.84338, 1034.5289, 937.4496]","[671.8811, 742.08887, 948.9099, 1072.7297]",26-30,26,2,rule_based
party (128),male,Party,,jeans,shirt_blouse,coat,black,black,round_neck,hip_length,full_length,pullover,long,,"[114.80971, 209.06013, 449.98083, 595.3655]","[210.5589, 515.7693, 421.1075, 747.7948]",21-25,21,0,random_check
party (336),female,Party,,pants/trousers,top_others,,black,black,v_neck,hip_length,thigh_length,pullover,sleeveless,,"[225.53595, 427.6155, 517.82916, 1017.43494]","[303.70508, 999.93036, 352.8194, 1022.1172]",26-30,29,1,rule_based
Travel306,female,Travel,jump_suit,,,,,orange,off_shoulder,below_knee,,pullover,long,"[311.5304, 203.0901, 602.66394, 796.5991]",,,16-20,16,1,rule_based
dating (100),female,Dating,dress,,,,,white,v_neck,below_knee,,pullover,three_quarter,"[163.50217, 321.57733, 576.054, 800.1339]",,,21-25,24,1,rule_based
Travel382,female,Travel,,leggings,tank_top,,black,black,round_neck,hip_length,full_length,pullover,sleeveless,,"[177.41142, 412.57123, 399.2928, 741.59125]","[180.84492, 653.4679, 491.2407, 1070.6454]",21-25,21,3,rule_based
office235,female,Office,,pants/trousers,shirt_blouse,,white,pink,collar,hip_length,full_length,button,three_quarter,,"[306.57376, 222.99748, 646.5522, 504.77448]","[353.51413, 486.22906, 723.88196, 1139.2896]",26-30,27,0,rule_based
Travel399,female,Travel,,skirt,t_shirt,,yellow,white,v_neck,hip_length,thigh_length,pullover,short,,"[190.42351, 160.31775, 318.88535, 273.7347]","[164.80843, 160.66795, 240.91187, 412.84915]",31-40,38,2,random_check
Travel300,female,Travel,,athletic_pants,sweater,,blue,red,round_neck,hip_length,full_length,pullover,long,,"[262.75504, 351.7268, 702.549, 691.9696]","[359.60965, 661.49316, 681.896, 1160.511]",21-25,21,2,random_check
prom261,female,Prom,dress,,,,,red,off_shoulder,below_knee,,pullover,sleeveless,"[82.299515, 198.56638, 409.5817, 741.9206]",,,16-20,20,1,random_check
Travel289,female,Travel,dress,,,,,multi,round_neck,thigh_length,,pullover,short,"[463.59012, 784.8184, 658.9916, 1115.3448]",,,31-40,35,1,rule_based
Sports68,male,Sports,,athletic_pants,t_shirt,,black,black,round_neck,hip_length,full_length,pullover,long,,"[147.03146, 93.9632, 361.2245, 323.44183]","[126.60212, 292.3147, 303.13785, 643.5936]",16-20,19,0,rule_based
Sports406,female,Sports,,leggings,tank_top,,grey,white,round_neck,hip_length,full_length,pullover,sleeveless,,"[353.6851, 252.98929, 666.4854, 750.00287]","[338.18704, 725.97064, 655.2446, 1080.0]",16-20,19,3,rule_based
office400,female,Office,,pants/trousers,shirt_blouse,,pink,white,collar,hip_length,full_length,button,long,,"[295.89276, 220.66644, 711.554, 623.8724]","[417.93918, 501.6224, 721.35767, 1338.8988]",26-30,27,0,rule_based
Travel12,male,Travel,,pants/trousers,t_shirt,,navy,white,v_neck,hip_length,full_length,pullover,short,,"[117.865005, 316.5742, 372.10327, 568.10754]","[153.05792, 545.9839, 347.6287, 971.51874]",16-20,18,2,rule_based
Travel64,male,Travel,,shorts,shirt_blouse,,navy,white,collar,hip_length,knee_length,button,three_quarter,,"[107.58226, 238.34471, 364.86432, 400.7997]","[196.84413, 394.0513, 295.1973, 486.47394]",26-30,27,0,random_check
party (18),male,Party,,pants/trousers,shirt_blouse,coat,black,white,collar,hip_length,full_length,pullover,long,,"[139.61404, 108.7724, 379.69376, 408.44745]","[183.6341, 331.995, 323.55182, 681.8298]",16-20,17,0,rule_based
wedding (149),male,Wedding,,pants/trousers,shirt_blouse,blazer,brown,brown,collar,hip_length,full_length,button,long,,"[145.94432, 173.08244, 326.16766, 415.69385]","[175.88838, 333.48108, 300.39853, 606.589]",26-30,26,0,random_check
Travel180,female,Travel,,leggings,top_others,,black,green,round_neck,hip_length,full_length,pullover,sleeveless,,"[338.03378, 506.10672, 617.3357, 973.0433]","[399.21823, 843.2612, 703.4606, 1193.7894]",21-25,21,2,rule_based
office103,male,Office,,pants/trousers,shirt_blouse,,brown,white,collar,hip_length,full_length,button,three_quarter,,"[201.90271, 143.68033, 509.04062, 444.31277]","[248.77661, 425.30054, 460.93115, 935.4926]",26-30,30,0,random_check
Travel405,male,Travel,,athletic_pants,sweater,,black,black,turtleneck,hip_length,full_length,pullover,long,,"[229.7204, 183.64682, 342.9241, 282.87262]","[244.391, 274.03024, 343.48, 477.62573]",21-25,25,0,rule_based
dating (102),female,Dating,,skirt,top_others,,black,multi,turtleneck,hip_length,extra_short,pullover,long,,"[432.11227, 333.837, 710.59735, 659.35736]","[383.72873, 643.6414, 661.14417, 893.9783]",26-30,30,2,rule_based
dating (63),female,Dating,,jeans,top_others,,blue,white,v_neck,hip_length,full_length,pullover,long,,"[347.15863, 182.75725, 635.6698, 567.9686]","[366.4621, 482.0986, 606.674, 977.1991]",21-25,23,2,rule_based
office079,male,Office,,pants/trousers,sweater,,navy,grey,round_neck,hip_length,full_length,pullover,long,,"[271.50186, 191.23586, 474.38177, 424.8177]","[297.84656, 386.28143, 437.30228, 689.54095]",26-30,28,0,random_check
party (82),female,Party,dress,,,,,red,round_neck,knee_length,,zip,sleeveless,"[218.50832, 292.40274, 509.97824, 899.7358]",,,21-25,23,1,rule_based
Travel203,female,Travel,,jeans,top_others,jacket,black,yellow,round_neck,hip_length,full_length,pullover,long,,"[405.4424, 519.7466, 707.29144, 875.64655]","[466.72305, 771.33386, 636.73193, 1160.0826]",21-25,21,2,rule_based
Sports394,female,Sports,,leggings,tank_top,,silver,grey,round_neck,crop,full_length,pullover,sleeveless,,"[360.41714, 455.90598, 710.9038, 768.4652]","[305.10767, 769.6744, 825.19995, 1350.0]",16-20,20,3,rule_based
Travel175,male,Travel,,athletic_pants,,coat,black,black,hooded,hip_length,full_length,button,long,,"[627.2123, 551.7433, 893.8783, 1070.1531]","[648.6049, 728.7638, 871.2375, 1194.1376]",21-25,22,0,rule_based
office288,female,Office,,jeans,top_others,,blue,red,halter_neck,hip_length,full_length,pullover,sleeveless,,"[427.97, 231.0347, 644.21893, 535.58]","[356.46143, 516.7875, 647.18506, 871.5389]",31-40,32,2,rule_based
dating (254),female,Dating,,jeans,top_others,,blue,red,off_shoulder,hip_length,full_length,button,long,,"[382.6754, 209.8297, 738.4693, 547.9215]","[414.69934, 454.46716, 651.81537, 915.1042]",21-25,25,2,rule_based
dating (405),male,Dating,,pants/trousers,t_shirt,coat,grey,grey,collar,hip_length,full_length,button,long,,"[179.99002, 82.70906, 346.00076, 331.18362]","[187.40799, 272.4198, 316.5128, 580.8848]",21-25,21,0,rule_based
Travel126,male,Travel,,jeans,t_shirt,,navy,white,round_neck,hip_length,full_length,pullover,three_quarter,,"[148.00789, 243.06033, 351.07706, 472.20572]","[163.57811, 455.40237, 320.94135, 747.5991]",21-25,24,2,rule_based
prom254,female,Prom,dress,,,,,orange,halter_neck,thigh_length,,pullover,sleeveless,"[242.41008, 232.33446, 769.8614, 901.2843]",,,16-20,17,1,rule_based
prom333,female,Prom,dress,,,,,red,off_shoulder,below_knee,,pullover,short,"[86.17302, 96.725204, 356.32758, 588.6653]",,,16-20,20,1,rule_based
Travel13,male,Travel,,pants/trousers,sweater,,silver,white,round_neck,hip_length,full_length,pullover,long,,"[179.35434, 156.93787, 311.67545, 315.87854]","[206.8146, 296.1294, 352.67102, 506.32428]",16-20,20,2,rule_based
party (220),female,Party,,pants/trousers,top_others,,black,black,v_neck,hip_length,full_length,pullover,long,,"[354.27148, 180.92116, 671.4773, 579.3403]","[245.8239, 357.5409, 656.8089, 1133.0692]",16-20,19,2,rule_based
dating (358),male,Dating,,pants/trousers,sweater,,black,navy,v_neck,hip_length,full_length,pullover,long,,"[153.98816, 145.15971, 334.26343, 378.79904]","[186.67503, 353.6235, 309.1113, 646.40375]",21-25,22,0,rule_based
office325,female,Office,,skirt,shirt_blouse,coat,black,grey,collar,hip_length,thigh_length,button,long,,"[355.21933, 323.63998, 661.545, 757.3654]","[373.31427, 588.72015, 649.2029, 928.0174]",26-30,29,0,rule_based
office363,female,Office,,pants/trousers,top_others,coat,blue,blue,off_shoulder,crop,full_length,pullover,long,,"[406.27548, 508.2577, 679.84796, 829.9468]","[437.51013, 679.34045, 637.1309, 1171.9934]",26-30,29,2,rule_based
Travel344,female,Travel,,skirt,top_others,,blue,purple,round_neck,hip_length,calf_length,pullover,short,,"[494.72787, 411.1339, 736.18555, 885.86487]","[487.05948, 836.645, 729.24475, 1167.5782]",31-40,34,2,rule_based
party (231),male,Party,,pants/trousers,t_shirt,coat,navy,navy,round_neck,hip_length,full_length,pullover,long,,"[126.77944, 85.01263, 296.37842, 250.00453]","[138.9579, 225.76698, 245.69891, 448.35184]",16-20,18,0,rule_based
party (39),male,Party,,jeans,t_shirt,jacket,black,grey,round_neck,hip_length,full_length,pullover,long,,"[178.0606, 186.9527, 490.80826, 596.5136]","[256.28568, 559.25867, 467.00198, 941.5653]",21-25,22,0,rule_based
Sports15,male,Sports,,shorts,sweatshirt_hoodies,,gold,gold,hooded,hip_length,thigh_length,zip,long,,"[119.379814, 113.546585, 349.7959, 387.53964]","[160.18776, 368.29657, 300.1632, 465.025]",16-20,18,0,rule_based
Travel111,male,Travel,,pants/trousers,shirt_blouse,blazer,brown,black,collar,hip_length,full_length,button,long,,"[140.77863, 105.330635, 301.75085, 363.9168]","[163.85007, 300.21155, 299.1659, 579.42615]",16-20,16,0,rule_based
prom243,female,Prom,dress,,,,,white,v_neck,below_knee,,pullover,sleeveless,"[78.19089, 202.22015, 454.7368, 808.93823]",,,16-20,16,1,random_check
prom202,female,Prom,dress,,,,,red,v_neck,below_knee,,pullover,sleeveless,"[82.78094, 119.29369, 228.69228, 550.1773]",,,16-20,20,1,rule_based
party (77),male,Party,,jeans,t_shirt,coat,black,brown,round_neck,below_knee,full_length,pullover,long,,"[174.61488, 136.11961, 448.32336, 678.6112]","[210.19327, 394.73032, 366.6703, 756.1224]",21-25,21,0,rule_based
prom314,female,Prom,dress,,,,,blue,round_neck,below_knee,,pullover,sleeveless,"[68.22613, 195.69856, 709.83624, 1112.7166]",,,16-20,17,1,rule_based
party (236),female,Party,,skirt,top_others,,black,black,v_neck,hip_length,thigh_length,pullover,sleeveless,,"[176.76872, 124.47664, 289.68488, 258.16776]","[143.87103, 243.5293, 291.7318, 385.5246]",26-30,26,1,random_check
prom083,male,Prom,,pants/trousers,shirt_blouse,coat,purple,purple,collar,hip_length,full_length,button,long,,"[242.48334, 127.0229, 572.2365, 591.9287]","[313.5277, 445.18958, 538.46625, 958.1841]",16-20,19,0,rule_based
office383,female,Office,,skirt,top_others,cardigan,white,brown,off_shoulder,hip_length,thigh_length,pullover,short,,"[166.48334, 342.0938, 865.43634, 1169.0437]","[304.88815, 714.47253, 762.6304, 1228.511]",31-40,38,2,rule_based
office184,male,Office,,pants/trousers,shirt_blouse,,black,green,collar,hip_length,full_length,button,three_quarter,,"[122.635605, 83.076454, 326.60925, 263.83337]","[170.91234, 258.65857, 298.67776, 623.85876]",26-30,29,0,rule_based
wedding (137),male,Wedding,,pants/trousers,top_others,,white,multi,collar,hip_length,full_length,button,long,,"[59.037067, 92.559906, 390.55453, 449.8764]","[199.0209, 469.10547, 318.03998, 628.83704]",16-20,20,0,rule_based
office305,female,Office,,pants/trousers,top_others,coat,brown,white,v_neck,hip_length,full_length,pullover,long,,"[296.18634, 368.05923, 648.4775, 709.7929]","[372.90695, 589.5276, 658.4425, 1082.7338]",26-30,29,2,rule_based
dating (93),female,Dating,dress,,,,,orange,collar,below_knee,,pullover,short,"[420.4642, 516.0238, 890.90735, 1100.9358]",,,31-40,31,1,rule_based
wedding (238),female,Wedding,,skirt,shirt_blouse,cardigan,multi,white,halter_neck,crop,full_length,pullover,short,,"[141.01848, 201.64133, 307.02094, 460.3379]","[35.926025, 214.09317, 449.19742, 646.84314]",31-40,33,2,rule_based
Travel426,male,Travel,,shorts,tank_top,,brown,navy,round_neck,hip_length,knee_length,pullover,sleeveless,,"[177.461, 169.22867, 294.80624, 379.48618]","[176.68547, 351.25537, 299.49905, 492.94998]",26-30,29,0,random_check
Travel59,male,Travel,,shorts,shirt_blouse,,brown,red,collar,hip_length,thigh_length,button,three_quarter,,"[134.59587, 94.35899, 312.4703, 323.3991]","[176.59271, 272.0039, 285.92572, 370.49234]",26-30,27,0,rule_based
office412,female,Office,,pants/trousers,shirt_blouse,,white,red,collar,hip_length,full_length,button,long,,"[521.6534, 196.75946, 893.8869, 693.2485]","[558.79456, 541.9189, 829.32916, 1069.4816]",26-30,27,0,random_check
Travel404,male,Travel,,shorts,tank_top,,blue,white,round_neck,hip_length,knee_length,pullover,sleeveless,,"[192.28615, 194.9191, 289.54797, 352.86212]","[142.16335, 340.40732, 205.35088, 459.25748]",26-30,30,2,rule_based
prom128,male,Prom,,pants/trousers,shirt_blouse,coat,black,black,collar,hip_length,full_length,button,long,,"[370.37448, 299.17853, 962.592, 1050.2542]","[503.6922, 817.5625, 896.6333, 1749.8918]",16-20,18,0,rule_based
Sports83,male,Sports,,shorts,t_shirt,,black,black,v_neck,hip_length,knee_length,pullover,short,,"[138.10509, 129.39442, 333.22797, 377.95264]","[163.83153, 370.0317, 291.18396, 480.66306]",16-20,17,3,rule_based
Sports34,female,Sports,,leggings,sweatshirt_hoodies,,red,black,round_neck,hip_length,full_length,zip,long,,"[66.10484, 88.990944, 337.06326, 258.00165]","[142.56421, 228.89993, 289.6819, 485.1626]",16-20,20,3,rule_based
dating (40),female,Dating,dress,,,,,blue,v_neck,knee_length,,pullover,short,"[419.73145, 465.83945, 618.7715, 862.77136]",,,31-40,40,1,rule_based
wedding (197),female,Wedding,dress,,,,,multi,off_shoulder,below_knee,,pullover,short,"[138.81065, 139.1054, 255.07002, 460.33963]",,,31-40,33,1,rule_based
Travel151,male,Travel,,pants/trousers,shirt_blouse,,black,multi,collar,hip_length,calf_length,button,short,,"[122.83217, 84.82072, 351.26425, 284.47754]","[167.83493, 275.176, 330.46896, 538.0887]",16-20,16,0,rule_based
wedding (21),male,Wedding,,pants/trousers,shirt_blouse,coat,white,white,collar,hip_length,full_length,button,long,,"[103.58642, 75.604546, 298.6321, 294.5076]","[136.30484, 250.67635, 273.88913, 548.7322]",26-30,28,0,rule_based
prom164,female,Prom,dress,,,,,black,off_shoulder,below_knee,,pullover,sleeveless,"[60.271343, 248.51202, 454.22537, 959.97894]",,,16-20,20,1,rule_based
party (245),female,Party,dress,,,,,black,round_neck,below_knee,,zip,sleeveless,"[24.675406, 101.97605, 372.04956, 576.6879]",,,21-25,21,1,random_check
Travel63,male,Travel,,jeans,t_shirt,jacket,grey,navy,round_neck,hip_length,full_length,pullover,long,,"[136.03108, 136.56985, 337.20786, 368.27258]","[195.0338, 310.946, 298.13852, 567.316]",21-25,22,0,rule_based
dating (150),female,Dating,dress,,,coat,,white,collar,thigh_length,,button,long,"[378.15173, 331.69006, 718.631, 900.5738]",,,21-25,25,1,random_check
dating (252),female,Dating,,jeans,top_others,,blue,green,off_shoulder,crop,full_length,pullover,long,,"[199.39066, 440.80084, 723.5957, 1343.5753]","[448.8763, 900.93445, 739.7192, 1332.9692]",21-25,22,2,rule_based
Sports352,female,Sports,,leggings,t_shirt,,green,grey,round_neck,hip_length,full_length,pullover,short,,"[379.01672, 175.51791, 632.0749, 399.06952]","[388.9187, 391.68005, 655.58466, 875.9398]",16-20,20,3,rule_based
office181,male,Office,,jeans,sweater,jacket,navy,brown,round_neck,hip_length,full_length,pullover,long,,"[479.19763, 492.99832, 928.03076, 1036.0889]","[558.49634, 991.85974, 858.51855, 1639.9457]",31-40,37,0,rule_based
dating (139),female,Dating,,skirt,shirt_blouse,,white,black,halter_neck,crop,thigh_length,button,long,,"[300.4131, 330.67444, 752.18854, 653.18787]","[417.40915, 536.47455, 672.33527, 817.6672]",26-30,29,0,rule_based
Sports258,female,Sports,,leggings,t_shirt,,black,grey,round_neck,crop,full_length,pullover,long,,"[390.03198, 162.58685, 719.8642, 612.0076]","[402.176, 457.11945, 675.1686, 1081.3813]",16-20,18,3,rule_based
dating (400),male,Dating,,pants/trousers,shirt_blouse,blazer,white,navy,collar,hip_length,full_length,button,long,,"[151.3166, 100.77398, 396.646, 357.90817]","[188.46663, 326.88168, 340.78, 619.64954]",21-25,22,0,rule_based
party (136),female,Party,,skirt,top_others,,purple,purple,v_neck,hip_length,knee_length,pullover,long,,"[52.15582, 62.33952, 175.62509, 190.01956]","[86.88425, 166.11542, 163.75653, 284.73618]",21-25,25,2,rule_based
office093,male,Office,,jeans,t_shirt,jacket,black,brown,round_neck,hip_length,full_length,pullover,long,,"[201.11899, 171.88371, 530.06946, 575.6201]","[239.9102, 500.6552, 459.9777, 946.8358]",31-40,34,0,rule_based
party (70),female,Party,dress,,,,,black,collar,thigh_length,,zip,short,"[95.820015, 181.59723, 427.87927, 675.5728]",,,16-20,19,1,rule_based
office413,female,Office,,pants/trousers,top_others,coat,blue,multi,round_neck,hip_length,full_length,pullover,long,,"[357.6477, 273.87277, 712.628, 713.37213]","[308.9277, 547.36804, 691.17316, 1168.4349]",26-30,30,2,rule_based
Travel51,female,Travel,,shorts,t_shirt,,multi,white,round_neck,hip_length,extra_short,pullover,short,,"[134.03503, 151.64027, 305.28754, 343.0593]","[77.79697, 415.00992, 181.0067, 589.95264]",31-40,39,2,random_check
party (194),female,Party,dress,,,,,silver,v_neck,thigh_length,,zip,sleeveless,"[245.22795, 112.76352, 379.27588, 380.24466]",,,21-25,25,1,rule_based
wedding (185),female,Wedding,,skirt,top_others,,black,white,off_shoulder,hip_length,full_length,pullover,sleeveless,,"[152.473, 178.46672, 302.67664, 337.3542]","[148.97546, 317.03262, 349.983, 811.40436]",26-30,30,2,rule_based
